gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
PILRA	GCST90242193	Antihypertensive medication - note that there are other indications	RX_ANTIHYP	1053	0.000518368169047685	5.0477373109837505e-05	0.7658009677408492	0.07441253170132535	0.15921765501566812
IL1R1	GCST90241578	Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT	1658	2.945094571127974e-05	5.380405198574425e-06	0.7229057725124765	0.13192281174692308	0.1451365843896907
PILRA	GCST90242193	COPD	J10_COPD	1053	0.165453420173175	0.01611143299505296	0.6185798957994967	0.060095976758436094	0.13975927427383916
PILRA	GCST90242193	COPD-related respiratory insufficiency	COPD_INSUFFICIENCY	1053	0.07224876402909647	0.007035400775709709	0.7188450034089924	0.06986729350937833	0.1320035382768232
IL1RL1	GCST90241581	Dermatitis	L12_DERMATITISNAS	1140	8.579091007516017e-197	0.07163191373319512	9.56915495616801e-196	0.7988559301469579	0.12951215611982186
IL6ST	GCST90241649	Seronegative rheumatoid arthritis	RHEUMA_SERONEG	1328	0.10073475327019406	0.7337925304529388	0.0046588580305525675	0.03380999515939133	0.12700386308692338
PILRA	GCST90242193	Unspecific neurodegenerative disorder	G6_NEURODEGENERATIVE	1053	0.0029908234647019203	0.000291238777664081	0.8034380394427609	0.07812159331131303	0.11515830500355966
LDLR	GCST90241817	Diseases of arteries, arterioles and capillaries (FINNGEN)	FG_DOAAC	2560	3.7503592905240454e-08	1.962053504425408e-08	0.5827495301980891	0.30476116934622993	0.11248924333155204
SPINK8	GCST90242766	Hypertension, essential	I9_HYPTENSESS	1344	0.009293759526494898	0.001799569174802522	0.743297222162019	0.1438243370245545	0.10178511211212943
BMP6	GCST90240457	Inguinal hernia	K11_HERING	4140	0.000373175643688129	9.612848759250652e-05	0.7166771189368226	0.1845146944191116	0.09833888251278547
CFH	GCST90240779	Diabetic retinopathy (more control exclusions)	DM_RETINOPATHY_EXMORE	2037	8.606429879029332e-54	1.1467887077869405e-09	6.798936246167105e-45	0.9058498267917489	0.09415017206145743
CPVL	GCST90242371	Lichen ruber planus, wide definition including periferal and oral lichen planus	K11_LICHEN_PLANUS_WIDE	3927	0.004677548836624054	0.000978580775575417	0.7449907721782331	0.15576446289940601	0.09358863531016103
IL6ST	GCST90241649	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	1328	0.10634226766683146	0.7746399246747037	0.003182821757123277	0.023092213315763836	0.09274277258557777
KRT18	GCST90241690	Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)	C3_PROSTATE_EXALLC	1592	2.6522952701565045e-21	2.8737400712403364e-22	0.8211997510267919	0.08888640253778986	0.0899138464354181
IL6ST	GCST90241649	Graves ophthalmopathy	GRAVES_OPHT	1328	0.0927690823812268	0.6757673742023195	0.018433021229240645	0.13419471778655648	0.07883580440065635
TLR1	GCST90243028	Allergic conjunctivitis	H7_ALLERGICCONJUNCTIVITIS	3372	4.158499601426421e-14	6.929840175711479e-15	0.790443707807465	0.13164384029574308	0.07791245189674388
IL4	GCST90241639	Varicose veins	I9_VARICVE	1049	2.9058826686626133e-06	2.458978412164226e-07	0.8514123902327415	0.07197050308837172	0.07661395489837775
ERBB3	GCST90242599	Diabetic retinopathy	DM_RETINOPATHY	961	2.944896951565578e-06	0.0049226204711588315	0.0005492607960376207	0.9180549561272378	0.07647021770861441
TLR1	GCST90243028	Allergic asthma (mode)	ALLERG_ASTHMA	3372	0.0010094796678373557	0.00016822251843774612	0.7918845834993767	0.13188681340655017	0.07505090090779828
PVR	GCST90242302	Any dementia (more control exclusions)	KRA_PSY_DEMENTIA_EXMORE	1563	0.0	0.0	0.8387393095032695	0.08853598155513191	0.0727247089417319
PVR	GCST90242302	Alzheimer disease	G6_ALZHEIMER	1563	0.0	0.0	0.8387393095032695	0.08853598155513191	0.0727247089417319
PVR	GCST90242302	Unspecific neurodegenerative disorder	G6_NEURODEGENERATIVE	1563	0.0	0.0	0.8387393095032695	0.08853598155513191	0.0727247089417319
PVR	GCST90242302	Dementia, including avohilmo	F5_DEMENTIA_INCLAVO	1563	0.0	0.0	0.8387393095032695	0.08853598155513191	0.0727247089417319
PVR	GCST90242302	Dementia	F5_DEMENTIA	1563	0.0	0.0	0.8387393095032695	0.08853598155513191	0.0727247089417319
PVR	GCST90242302	Alzheimer’s disease (Late onset) (more control exclusions)	AD_LO_EXMORE	1563	0.0	0.0	0.8387393095032695	0.08853598155511178	0.07272470894169883
PVR	GCST90242302	Dementia in Alzheimer disease	F5_ALZHDEMENT	1563	0.0	0.0	0.8387393095032695	0.08853598155511178	0.07272470894169883
PRTN3	GCST90241987	Sudden idiopathic hearing loss	H8_HL_IDIOP	4221	1.0656657714608211e-100	0.42408151471858824	1.2678476373459672e-100	0.5044683040993946	0.07145018118202562
PRTN3	GCST90241988	Sudden idiopathic hearing loss	H8_HL_IDIOP	4221	5.983786011707573e-88	0.4241292320154167	7.119050982492977e-88	0.5045251790822239	0.07134558890235727
LAYN	GCST90241741	Anogenital herpesviral [herpes simplex] infection	AB1_ANOGENITAL_HERPES_SIMPLEX	2226	0.017301373754243742	0.003566069257560422	0.7535790965741003	0.15525350771742544	0.07029995269666976
UBE2B	GCST90243234	Disorders of the thyroid gland	E4_THYROID	966	3.9619000914348735e-14	1.745967033576354e-14	0.6478951535998336	0.28545381978099094	0.06665102661911895
UBE2B	GCST90243234	Hypothyroidism, strict autoimmune	E4_HYTHY_AI_STRICT	966	8.109076505717654e-13	3.57358336277578e-13	0.6480690967194751	0.2855307255039105	0.0664001777754455
LRP1	GCST90242394	Chronic diseases of tonsils and adenoids	J10_CHRONTONSADEN	1188	3.262907213316154e-06	2.633477689067127e-07	0.8640976286969995	0.0696747055769043	0.06622413947111404
LDLR	GCST90241817	Angina pectoris	I9_ANGINA	2560	1.0259791764789526e-16	5.367555166685747e-17	0.613483343387358	0.32088685783116583	0.06562979878147684
TLR1	GCST90243028	Childhood asthma (age<16) (more control exclusions)	ASTHMA_CHILD_EXMORE	3372	0.00046701196243534364	7.782418107512124e-05	0.8034954553528115	0.1338346074029866	0.06212510110069125
SORT1	GCST90242862	Pure hypercholesterolaemia	E4_HYPERCHOL	1270	0.024131312705331358	0.002267925470884066	0.8355188127565222	0.07846468101575828	0.05961726805150418
TLR1	GCST90243028	Lyme disease	AB1_LYME	3372	5.494649883847095e-06	9.156438419157461e-07	0.8068797844380408	0.13440199476862733	0.05871181049960556
SPINK8	GCST90242766	Hypertension	I9_HYPTENS	1344	1.8448351490187403e-05	3.572191057130172e-06	0.7886756449506783	0.1526541884110185	0.05864814609575638
TLR1	GCST90243028	Conjunctivitis	H7_CONJUNCTIVITIS	3372	5.875589790029008e-07	9.791247345310939e-08	0.8072828959814662	0.13446963543233928	0.058246783114742094
TLR1	GCST90243028	Other spirochaetal diseases	AB1_OTHER_SPIROCHAETAL	3372	6.449791333095706e-06	1.0748112874583618e-06	0.8075003373352382	0.13450613124467456	0.05798600681746618
KRT18	GCST90241690	Pregnancy hypertension	O15_HYPTENSPREG	1592	8.142415227309223e-11	8.82223980817014e-12	0.8502333020255312	0.09206437538982562	0.05770232249439611
LRP1	GCST90242394	Other diseases of upper respiratory tract	J10_UPPERDIS	1188	0.09727685478113113	0.007851171056389763	0.7753547663504553	0.06252153766855303	0.05699567014347092
SORT1	GCST90242862	Coronary atherosclerosis	I9_CORATHER	1270	0.1104448831731127	0.010379906254406891	0.751626647915445	0.07058292205295014	0.05696564060408538
KIAA0319	GCST90240986	Spondyloarthritis	SPONDYLOARTHRITIS	4334	2.8645944805427756e-63	6.906889584363589e-64	0.7600263288972522	0.18319491605054786	0.056778755052194624
KIAA0319	GCST90240986	Spondylopathies (FG)	SPONDYLOPATHY_FG	4334	2.03874651476297e-77	4.915668574948109e-78	0.7600263288972522	0.18319491605054786	0.056778755052194624
KIAA0319	GCST90240986	Ankylosing spondylitis	M13_ANKYLOSPON	4334	8.474132431340217e-66	2.0432175452440078e-66	0.7600263288972522	0.18319491605054786	0.056778755052194624
KIAA0319	GCST90240986	Reimbursement for rheumatic diseases	K11_REIMB_202	4334	2.3912968477586355e-22	5.765710784926177e-23	0.7601757586779591	0.18323113105317373	0.05659311026886662
IL4	GCST90241639	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	1049	1.7490848930212813e-42	1.4800879744264924e-43	0.870207593082759	0.0735813693288874	0.05621103758835239
IL4	GCST90241639	Asthma (more control exclusions)	J10_ASTHMA_EXMORE	1049	4.470431587804029e-34	3.782910743786618e-35	0.8702973653716973	0.07358906338965157	0.05611357123865384
XCL1	GCST90241836	Other and unspecified coagulation defects	D3_COAGDEFNAS	2988	7.227341696920927e-213	2.9687409199298555e-213	0.6691779736799011	0.2748190640385843	0.05600296228149386
XCL1	GCST90241836	Other coagulation defects	D3_COAGOTHER	2988	9.919922922435122e-200	4.074759757786156e-200	0.6691779736799011	0.2748190640385843	0.05600296228149386
TLR1	GCST90243028	Childhood allergy (age < 16)	CHILDHOOD_ALLERGY	3372	3.3633181845523965e-05	5.6047275971885164e-06	0.8095711477618186	0.13485366695196466	0.0555359473767746
TLR1	GCST90243028	Chronic lower respiratory diseases	J10_LOWCHRON	3372	4.900940798117881e-05	8.167064974571833e-06	0.8099929898909839	0.13492447449378098	0.05502535914227989
IL4	GCST90241639	Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	1049	1.7698038321765578e-12	1.4976204868899883e-13	0.8716651362920624	0.07370629012741073	0.05462857357860761
ERBB3	GCST90242599	Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_EXALLC	961	0.0003499596892843126	0.5849843844741334	0.00021559201968757337	0.36032442307836987	0.05412564073852504
LYPD3	GCST90241827	Dementia, including avohilmo	F5_DEMENTIA_INCLAVO	1500	4.290769662679558e-43	4.088038803464737e-44	0.8641846772242946	0.08228182289504629	0.053533499880657504
LYPD3	GCST90241827	Dementia	F5_DEMENTIA	1500	2.289336096518765e-40	2.181169238270561e-41	0.8641990326740997	0.08228320635211263	0.053517760973785466
LYPD3	GCST90241827	Any dementia (more control exclusions)	KRA_PSY_DEMENTIA_EXMORE	1500	9.591544937687947e-33	9.138362338927631e-34	0.8643430422806884	0.08229708478229207	0.053359872937014025
AMIGO1	GCST90240267	Statin medication	RX_STATIN	1138	4.815058079347905e-10	4.6139563324596447e-11	0.863946985571339	0.08273308886374654	0.05331992503726975
LYPD3	GCST90241827	Dementia in Alzheimer disease	F5_ALZHDEMENT	1500	1.6895659917996707e-17	1.6097371517207131e-18	0.8644089392058961	0.08230343537165159	0.05328762542245039
LYPD3	GCST90241827	Other degenerative diseases of the nervous system	NEURODEGOTH	1500	2.6039785503579866e-12	2.480945423345206e-13	0.8648584922808602	0.08234675950197182	0.05279474821431412
TLR1	GCST90243028	Acute tubulo-interstitial nephritis	N14_PYELONEPHR	3372	0.24048411098063546	0.040074945620343985	0.5716031634149981	0.09520091480134361	0.052636865182678926
