gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
PSRC1	Hard cardiovascular diseases	I9_CVD_HARD	4665	0.0	3.194969016241499e-12	0.0	0.014608836896713715	0.9853911631000073
ERBB2	Alcohol use disorder, Swedish definition	AUD_SWEDISH	4341	1.6825627797337152e-13	0.00048691207124992267	5.262316151400508e-12	0.014243197586257481	0.9852698903370619
CLEC10A	Cholecystectomy	K11_CHOLECYSTECTOMY	6223	2.2972512548541602e-278	0.009997281825139467	1.3613269880659368e-278	0.0049392208085425925	0.9850634973663721
IFNGR2	Hypertension	I9_HYPTENS	4677	0.0	1.4682198884816503e-05	0.0	0.015043799186765213	0.9849415186142573
CTLA4	Rheumatoid arthritis	M13_RHEUMA	4428	9.64746693600204e-76	4.020076884184681e-12	3.860858692553168e-66	0.015103210986842471	0.9848967890091271
CD14	Other puerperal infections	O15_PUERP_INFECT_OTHER	3932	4.2181688373881945e-297	0.003494284794492409	1.5327612370049217e-296	0.01171243267148754	0.984793282533988
ANPEP	Torsion of ovary, ovarian pedicle and fallopian tube	N14_OVARTORS	5793	0.0	0.006533875994588272	0.0	0.009145071415254797	0.9843210525903137
TNFRSF14	Nasal polyp	J10_NASALPOLYP	6039	0.0	0.00031821908894541485	0.0	0.015467669249105455	0.984214111661918
IFNGR2	Hypertension, essential	I9_HYPTENSESS	4677	0.0	0.0005171058096108685	0.0	0.015287866850287931	0.9841950273400217
CTLA4	Polyarthropathies	M13_POLYARTHROPATHIES	4428	1.0787033509321559e-70	4.4949316071685564e-07	4.0969975498004874e-66	0.016088181496164713	0.9839113690106693
CTLA4	Reimbursement for rheumatic diseases	K11_REIMB_202	4428	5.590744554803638e-70	2.3296503636460303e-06	4.131565500352136e-66	0.016232372867966097	0.9837652974816572
TGFBR1	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	5261	2.3640650690547344e-55	0.01040089088398385	1.5521834233159887e-55	0.005845199586362719	0.9837539095296494
