gene_symbol	disease	fin_OR	fin_FDR	uk_OR	uk_p	uk_FDR	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated	uk_id	uk_label	uk_caveat
BMP6	Type 2 diabetes	0.825530025367144	0.0124510329798526	1.0010426140926618	0.4525340699716862	0.8812362971810956	protective	risk	False	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
CRIM1	Venous thromboembolism	0.7945175334649279	0.0154414805075911	1.0012042727077886	0.4965467815955211	0.9003649473509149	protective	risk	False	False	False	ukb-d-I9_VTE	Neale UKB, VTE	
PSAP	Coronary heart disease	0.8174569294129628	0.0336766945926516	1.002114211887378	0.5338978046700178	0.9033934507551198	protective	risk	False	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
CLEC4A	Type 2 diabetes	0.905845101185168	0.010182537594924	1.0004018780142965	0.5699788826163097	0.9136161968360437	protective	risk	False	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
ADAMTSL4	Hypertension	1.064719000626806	0.010182537594924	0.9983575176026639	0.5880649445087549	0.9159676105207777	risk	protective	False	False	False	ieu-b-5144	Tang UKB, hypertension	
TNFSF13	Glaucoma	0.8996304613374326	0.0185452998335878	1.0001905214797722	0.633583161552135	0.932217264596192	protective	risk	False	False	False	ukb-d-H40	Neale UKB, glaucoma (ICD H40)	
FES	Atrial fibrillation	0.878125773021931	2.194601009134281e-05	1.0002636184313998	0.6576781407253811	0.932483685220008	protective	risk	False	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
LDLR	Hypertension	0.7132227918364444	0.0090356114494124	1.0050484734709109	0.727204313988906	0.949017661223028	protective	risk	False	False	False	ieu-b-5144	Tang UKB, hypertension	
VNN2	Coronary heart disease	1.0454011597851285	0.0029875916748453	0.999805725563132	0.7296611889092435	0.949017661223028	risk	protective	False	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
CD79B	Type 2 diabetes	0.813433330115456	0.0250542143483569	1.0003635427960622	0.816057743479339	0.9602555933826467	protective	risk	False	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
CD14	Atrial fibrillation	0.8999090916998057	0.0432695410517407	1.0000520295966047	0.9511205225362009	0.9929239999631313	protective	risk	False	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
PACS2	Type 2 diabetes	1.387487383466108	0.038510778045853	0.9998735535424303	0.9627504507331057	0.993964116529344	risk	protective	False	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
PFKFB2	Hypertension	0.7249380606905292	0.0015827278390193	1.0002891070855642	0.9814628833904298	0.9995921949189395	protective	risk	False	False	False	ieu-b-5144	Tang UKB, hypertension	
