gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
ANPEP	Type 2 diabetes	T2D	5793	0.0	2.3472404612480585e-11	0.0	0.9999975067297942	2.493247025954946e-06
MAPT	Hypertension	I9_HYPTENS	1982	3.7442230619670785e-19	4.806962804723133e-15	7.788551165188261e-05	0.9999210809672309	1.0335211152450364e-06
CASP3	Type 2 diabetes	T2D	6835	0.0	6.862128794108571e-09	0.0	0.9999994547236278	5.384142256271635e-07
MPO	Hypertension	I9_HYPTENS	4307	1.1686044907490684e-296	2.216341939269616e-09	5.272672259740583e-288	0.9999999789129108	1.8870763541741658e-08
TNFSF12	Hypertension	I9_HYPTENS	5652	0.0	8.327998641658084e-13	0.0	0.9999999819806363	1.8018632630945025e-08
SPRY2	Type 2 diabetes	T2D	5163	8.698402305413515e-63	6.444857921297935e-15	1.3496654689078822e-48	0.999999986533453	1.3466530182329051e-08
ADM	Hypertension	I9_HYPTENS	6328	0.0	8.58288099188711e-11	0.0	0.9999999936554786	6.258705334462916e-09
LDLR	Coronary heart disease	I9_CHD	5330	1.1960909836003977e-25	6.938844175907176e-18	1.7237610940561826e-08	0.9999999826218443	1.4054557250208054e-10
LDLR	Hypertension	I9_HYPTENS	5330	1.3282981759806437e-52	7.700095870203134e-45	1.725041058296861e-08	0.9999999826179647	1.3163136532273113e-10
CLINT1	Hypertension	I9_HYPTENS	6144	6.453139037299285e-24	3.207197418596796e-14	2.01208039097799e-10	0.9999999997914912	7.271173208394247e-12
SORT1	Coronary heart disease	I9_CHD	4744	4.090787442988366e-32	1.535742332005098e-14	2.6637199208065782e-18	0.9999999999999005	9.078216880477684e-14
ANXA11	Sarcoidosis	D3_SARCOIDOSIS	6924	1.2776769614664218e-296	1.6924879481222907e-28	7.549105226327133e-269	1.0	1.4036874810500103e-18
SLC12A2	Hypertension	I9_HYPTENS	5516	1.6667161528646038e-99	9.163463868270787e-21	1.8188713098283572e-79	1.0	1.3149745486805363e-20
KRT18	Hypertension	I9_HYPTENS	6131	1.0737795824594299e-51	2.931908689447965e-32	3.6623909411775583e-20	1.0	2.244322663911587e-21
ANPEP	Coronary heart disease	I9_CHD	5793	0.0	1.0841940417692755e-24	0.0	1.0	2.2179540354375152e-23
NPDC1	Type 2 diabetes	T2D	5042	7.679868366651905e-218	2.4303905781297e-30	3.1599317557268875e-188	1.0	1.8605153427240207e-26
LYPD3	Dementia	F5_DEMENTIA	5946	2.590023698813508e-97	4.306619867247744e-72	6.014052269880979e-26	1.0	3.630477406140191e-27
LYPD3	Alzheimer's disease	G6_AD_WIDE	5946	2.25993617379187e-76	3.7581471053576245e-51	6.013431913216221e-26	1.0	3.598003960133139e-27
TSPAN15	Venous thromboembolism	I9_VTE	6658	2.2632576547223666e-163	7.196556886002899e-37	3.1449173411304654e-127	1.0	6.584747121739462e-30
TEX101	Alzheimer's disease	G6_AD_WIDE	5764	1.9037112059479398e-168	1.7344869118252874e-47	1.0975644687595026e-121	1.0	5.441429119862999e-43
ADAM15	Atrial fibrillation	I9_AF	3268	0.0	6.231220385155302e-46	0.0	1.0	1.983331869769996e-43
MAPRE3	Hypertension	I9_HYPTENS	3821	4.222155096322016e-122	4.080398349932959e-49	1.0347409086642892e-73	1.0	1.2284103307296087e-45
PVR	Dementia	F5_DEMENTIA	5757	0.0	0.0	1.5124917448897407e-43	1.0	1.1448751386226948e-45
PVR	Alzheimer's disease	G6_AD_WIDE	5757	0.0	0.0	1.5096891213371785e-43	1.0	1.1388573288255051e-45
SLC16A1	Hypertension	I9_HYPTENS	4394	1.6018507406282483e-101	1.681553170911324e-54	9.5260189706646e-48	1.0	7.215970130861855e-50
TEX101	Dementia	F5_DEMENTIA	5764	1.7262724666847203e-189	1.57193330655466e-68	1.0981842928617884e-121	1.0	2.1532171477020964e-63
