gene_symbol	disease	phenocode	category	disease_system	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	pqtl_concordant	two_population_validated	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	s_protein	s_repl	p_known	p_mhc
HIP1R	Antihypertensive medication - note that there are other indications	RX_ANTIHYP	Drug purchase endpoints	Medication/Other	Immune-cell-enriched	1.266937995173795	0.0121952775141798	0.0110498987315834				False	False	2	0	0	novel nomination	1.3938115612291755	0.38276166249759214	0.0110498987315834	0.5	0.0	0.5	0.0	0.0	0.0	0.0
PHOSPHO1	Atopic dermatitis	L12_ATOPIC	XII Diseases of the skin and subcutaneous tissue (L12_)	Dermatological	Immune-cell-enriched	0.7816592815469966	0.0130302153620398	7.077911172824401e-19				False	False	2	0	0	novel nomination	1.3770096812508437	0.3770096812508436	7.077911172824401e-19	0.5	0.0	0.5	0.0	0.0	0.0	0.0
KIAA0319	Spondylopathies (FG)	SPONDYLOPATHY_FG	Rheuma endpoints	Musculoskeletal	Immune-cell-enriched	0.7075637618782429	4.26534771306845e-05		6.381352733272499	4.440892098500626e-16	0.0567787550521946	False	False	3	2	0	MHC-caution	1.3740091118342717	0.8740091118342717	0.0	1.0	1.0	0.5	0.0	0.0	0.0	2.0
RALB	Hypertrophy of breast in women and men	N14_HYPERTROPHYBREAST_BOTH	XIV Diseases of the genitourinary system (N14_)	Renal/Genitourinary	Immune-cell-enriched	1.2437399352930127	4.297967949601945e-05	0.0006229380802062				False	False	1	0	0	novel nomination	1.3739703035626118	0.8733473654824058	0.0006229380802062	0.0	0.0	0.5	0.0	0.0	0.0	0.0
DENR	Arthropathies	M13_ARTHROPATHIES	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	0.8990487343716123	0.0173509908521347	0.0037317428683702				False	False	2	0	0	novel nomination	1.3558668867049262	0.35213514383655586	0.0037317428683702	0.5	0.0	0.5	0.0	0.0	0.0	0.0
NPDC1	Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	KELA_DIAB_INSUL_EXMORE	Diabetes endpoints	Metabolic/Endocrine	Immune-cell-enriched	1.0723967953924725	0.0170349043452971	2.1281474127017452e-24				False	False	1	1	0	novel nomination	1.3537320601494969	0.35373206014949693	2.1281474127017452e-24	0.0	0.5	0.5	0.0	0.0	0.0	0.0
PINLYP	Statin medication	RX_STATIN	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	1.154395322330503	0.0177925327260917	8.576566256438581e-48				False	False	1	1	0	novel nomination	1.349952445339095	0.3499524453390949	8.576566256438581e-48	0.0	0.5	0.5	0.0	0.0	0.0	0.0
TNFRSF14	Autoimmune diseases	AUTOIMMUNE	Diseases marked as autimmune origin	Haematological/Immune	TNF superfamily	0.92966838561049	5.724700651798203e-05	1.248014913669135e-10	1.0492728308449206	0.3849154014078806	0.2335268370144945	False	False	7	1	0	recovered known axis	1.3484494437100558	0.8484494435852543	1.248014913669135e-10	1.5	0.5	0.0	0.0	0.0	1.5	0.0
KIAA0319	Reimbursement for rheumatic diseases	K11_REIMB_202	Gastrointestinal endpoints	Gastrointestinal	Immune-cell-enriched	0.8507979682652377	6.255775739916595e-05		1.5150179633964032	0.0001456744460852	0.0565931102688666	False	False	3	2	0	MHC-caution	1.3407437656936843	0.840743765693684	0.0	1.0	1.0	0.5	0.0	0.0	0.0	2.0
OTUD7B	Systemic connective tissue disorders	M13_SYSTCONNECT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	0.6724324537401528	0.0227773194274559	6.126992369775065e-05				False	False	2	0	0	novel nomination	1.3285607474532564	0.32849947752955855	6.126992369775065e-05	0.5	0.0	0.5	0.0	0.0	0.0	0.0
C2	Spondylopathies (FG)	SPONDYLOPATHY_FG	Rheuma endpoints	Musculoskeletal	Complement/Coagulation	2.6322505581511315	7.397208869940775e-05					False	False	11	1	0	MHC-caution	1.3261864236495864	0.8261864236495866	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
KIAA0319	Ankylosing spondylitis	M13_ANKYLOSPON	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	0.6475203748690394	7.519151210274785e-05		9.60180911897189	9.769962616701378e-15	0.0570248238336972	False	False	3	2	0	MHC-caution	1.3247662362832417	0.8247662362832416	0.0	1.0	1.0	0.5	0.0	0.0	0.0	2.0
TSPAN15	Phlebitis and thrombophlebitis (not including DVT)	I9_PHLETHROM	IX Diseases of the circulatory system (I9_)	Cardiovascular	Immune-cell-enriched	0.717098904281054	0.0252442630349374	8.235647278699208e-08				False	False	1	1	0	novel nomination	1.3195675430168925	0.31956746066041963	8.235647278699208e-08	0.0	0.5	0.5	0.0	0.0	0.0	0.0
PHOSPHO1	Dermatitis and eczema	L12_DERMATITISECZEMA	XII Diseases of the skin and subcutaneous tissue (L12_)	Dermatological	Immune-cell-enriched	0.8483897856736988	0.0258866214219995	5.094157948821343e-13				False	False	2	0	0	novel nomination	1.3173849255143841	0.31738492551387465	5.094157948821343e-13	0.5	0.0	0.5	0.0	0.0	0.0	0.0
BMP6	Spinal stenosis	M13_SPINSTENOSIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	1.5548541426750122	8.697297761606608e-05		1.0472873604025446	0.6747919094596193	0.0181614039973506	False	False	5	1	0	MHC-caution	1.3121231322237938	0.812123132223794	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
KRT18	Pregnancy hypertension	O15_HYPTENSPREG	XV Pregnancy, childbirth and the puerperium (O15_)	Other	Immune-cell-enriched	1.5887975233018874	0.0286840687742038	3.8168537710444005e-10	1.0346834127525322	0.7848718535001682	0.0577023224943961	False	False	2	0	0	novel nomination	1.3084718493587322	0.30847184897704677	3.8168537710444005e-10	0.5	0.0	0.5	0.0	0.0	0.0	0.0
SPP1	Gonarthrosis, primary, with knee surgery	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Immune-cell-enriched	0.9118202587147042	0.0322050299240439	4.381228985890221e-05				False	False	1	1	0	novel nomination	1.298459070884495	0.2984152585946362	4.381228985890221e-05	0.0	0.5	0.5	0.0	0.0	0.0	0.0
