gene_symbol	phenocode	disease	uk_id	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
ANXA2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.1095830136652372	0.0024185398060151	1.000517019985363	0.34213607153352843	+	+	True	False	False
CLINT1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.4368403263327851	0.0071983064086892	1.0003552302686434	0.8674100338217251	+	+	True	False	False
MAPT	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.5741270163303778	0.0084364124951316	0.9977170412275768	0.43832686664826465	+	-	False	False	False
SLC16A1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8276151343209475	0.0087770309363827	0.9998873988879651	0.9189107411246439	-	-	True	False	False
MYL4	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.6566342513940038	0.0088542867957432	0.9965588717191334	0.3002850709331442	+	-	False	False	False
PFKFB2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.7249380606905292	0.0130302153620398	0.9992537320628792	0.6988990115107584	-	-	True	False	False
ADM	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.0699589450331417	0.0140330910231028	0.9998466531427724	0.7082908933835281	+	-	False	False	False
PIK3IP1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	1.0484890304176304	0.028352760067329	0.9998699333308355	0.6713349248593394	+	-	False	False	False
IL1RN	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	0.8305428779673497	0.0435337608524896	1.0001803391570985	0.9020284859698561	-	+	False	False	False
PSRC1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.8271831854130581	9.227066656692128e-23	0.9892959186999888	5.747045732153104e-22	-	-	True	True	True
FES	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.8893360577062895	5.175969257873033e-06	0.9933317836863175	1.389270588862108e-08	-	-	True	True	True
SORT1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.6571327078647082	0.0020125461957679	0.9852217847036612	0.0071162482321000245	-	-	True	True	True
SCARB1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.8975879515659257	0.0034683955010659	0.996543267243814	0.015685814890337893	-	-	True	True	True
CDKN1A	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	1.2081661308661045	0.0037354379339553	1.0038169954552913	0.10373160361535708	+	+	True	False	False
PLAUR	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	1.4336001789743753	0.0039758870475332	1.0136865354279192	0.006068486831262447	+	+	True	True	True
LPL	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.927942210071436	0.0051921613478377	0.9972475610391571	0.001192777445981906	-	-	True	True	True
LRP1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	0.5483081326804462	0.0080584086412413	0.978670061108481	0.018669533871262058	-	-	True	True	True
PIK3IP1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	1.0691167335367644	0.0189798143538556	1.000466715792137	0.642436928329086	+	+	True	False	False
C2	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	2.07559879429806	5.6452922516472e-22	1.0042446117134145	0.0037485334176026214	+	+	True	True	True
