gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
IL6ST	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	2.632384596643061	1.589691802796057e-13	1.0061881089410636	7.827595570030506e-06	+	+	True	True	True
CTLA4	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	0.5105947113703064	2.080771310971751e-11	0.996881821943308	0.00299986941999461	-	-	True	True	True
CA8	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	0.746217049064143	0.0100959718337687	0.9982460675962678	0.04320354429697544	-	-	True	True	True
SWAP70	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	0.8293131115972837	0.0329775060837499	0.998831766957539	0.028108091139834285	-	-	True	True	True
TNFRSF14	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	0.8739742552963211	0.0367247809834666	0.999324246068793	0.11085091031509758	-	-	True	False	False
MYL6B	M13_RHEUMA	Rheumatoid arthritis	ukb-d-M13_RHEUMA	Rheumatoid arthritis	exact-code	1605	1.396184655655942	0.0426853316634806	1.0002888269342893	0.7891337475363416	+	+	True	False	False
ERBB2	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ukb-d-ASTHMA_CHILD	Childhood asthma (age<16)	name-match	1993	26.543981962122	1.9984127993326882e-33	1.005248566182517	0.05115527133366566	+	+	True	False	False
IL18RAP	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ukb-d-ASTHMA_CHILD	Childhood asthma (age<16)	name-match	1993	0.8423131723656948	2.260134361069464e-11	0.9994237092038704	0.00946844707359995	-	-	True	True	True
IL4	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ukb-d-ASTHMA_CHILD	Childhood asthma (age<16)	name-match	1993	0.4782034343054619	3.511254866341247e-05	0.9938911966545511	0.0009755983576931369	-	-	True	True	True
IL4R	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ukb-d-ASTHMA_CHILD	Childhood asthma (age<16)	name-match	1993	0.6857733642399695	0.0008915808038298	0.9981927491703881	0.016739126773415283	-	-	True	True	True
TLR1	ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	ukb-d-ASTHMA_CHILD	Childhood asthma (age<16)	name-match	1993	1.2564992065813676	0.0106417343630506	1.0006501842912163	0.048467751368474705	+	+	True	True	True
FES	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8468839990603911	1.3034218837950704e-28	0.9993733772735486	0.0804076506989277	-	-	True	False	False
ACE	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.6114209191709736	5.32071809321131e-08	1.0016053710931645	0.3963382401148279	+	+	True	False	False
SPINK8	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8476635987428299	1.39069754708218e-05	1.0003740817014604	0.5732070281641222	-	+	False	False	False
IFNGR2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.0664311640761612	3.5370441860658856e-05	1.0000721302095699	0.8327056983508812	+	+	True	False	False
SWAP70	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8981950163318115	4.819561437260463e-05	0.9992629577367401	0.1153945119598165	-	-	True	False	False
MERTK	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.062439129279221	4.899940150507781e-05	1.0000672605481122	0.8349835093287845	+	+	True	False	False
TNFSF12	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.059272096895342	9.38051580092912e-05	1.000632738260792	0.01814065030972988	+	+	True	True	True
