olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
559	CHI3L1	Chitinase-3-like protein 1	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Immune cell enriched	Asthma, Cancer-related genes, Schizophrenia	Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
561	CHL1	Neural cell adhesion molecule L1-like protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	1	Group enriched		Plasma proteins, Predicted membrane proteins, Predicted secreted proteins
574	CKAP4	Cytoskeleton-associated protein 4	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins, Predicted membrane proteins, Transporters
575	CKB	Creatine kinase B-type	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enriched	Cancer-related genes, FDA approved drug targets	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
577	CLASP1	CLIP-associating protein 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	NK-cell	0	1	Immune cell enhanced		Essential proteins, Predicted intracellular proteins
578	CLC	Galectin-10	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Group enriched		Predicted intracellular proteins
579	CLEC10A	C-type lectin domain family 10 member A	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
580	CLEC11A	C-type lectin domain family 11 member A	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	1	Immune cell enhanced		Plasma proteins, Predicted secreted proteins
581	CLEC12A	C-type lectin domain family 12 member A	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters
583	CLEC1A	C-type lectin domain family 1 member A	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enhanced		Predicted intracellular proteins, Predicted membrane proteins
584	CLEC1B	C-type lectin domain family 1 member B	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins, Predicted membrane proteins
587	CLEC4A	C-type lectin domain family 4 member A	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	0	1	Group enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
588	CLEC4C	C-type lectin domain family 4 member C	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enriched		CD markers, Predicted intracellular proteins, Predicted membrane proteins
589	CLEC4D	C-type lectin domain family 4 member D	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte	0	1	Group enriched		CD markers, Predicted intracellular proteins
