olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
79	AHSG	Alpha-2-HS-glycoprotein	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Mineral balance		Cancer-related genes, Disease variant, Hypotrichosis, Intellectual disability	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
80	AHSP	Alpha-hemoglobin-stabilizing protein	Plasma proteins, Predicted intracellular proteins		Chaperone		Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
81	AIDA	Axin interactor, dorsalization-associated protein	Predicted intracellular proteins		Developmental protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
82	AIF1	Allograft inflammatory factor 1	Predicted intracellular proteins		Actin-binding		Group enriched	classical monocyte: 3836.5;intermediate monocyte: 6563.8;myeloid DC: 2046.7;neutrophil: 2962.5;non-classical monocyte: 7784.5	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	0	0	2	1	Immune-cell-enriched
83	AIF1L	Allograft inflammatory factor 1-like	Predicted intracellular proteins		Actin-binding		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
84	AIFM1	Apoptosis-inducing factor 1, mitochondrial	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Apoptosis	DNA-binding, Oxidoreductase	Charcot-Marie-Tooth disease, Deafness, Disease variant, Dwarfism, Intellectual disability, Neurodegeneration, Neuropathy, Primary mitochondrial disease	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
85	AK1	Adenylate kinase isoenzyme 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Kinase, Transferase	Disease variant, Hereditary hemolytic anemia	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
86	AK2	Adenylate kinase 2, mitochondrial	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Kinase, Transferase	Disease variant, SCID	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
87	AKAP12	A-kinase anchor protein 12	Cancer-related genes, Plasma proteins, Predicted intracellular proteins		Calmodulin-binding	Cancer-related genes	Immune cell enriched	basophil: 37.3	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
88	AKR1B1	Aldo-keto reductase family 1 member B1	Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase	Cancer-related genes, FDA approved drug targets	Low immune cell specificity		Low lineage specificity		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
89	AKR1B10	Aldo-keto reductase family 1 member B10	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins	Lipid metabolism	Oxidoreductase		Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
90	AKR1C4	Aldo-keto reductase family 1 member C4	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase		Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
91	AKR7L	Aflatoxin B1 aldehyde reductase member 4	Predicted intracellular proteins				Not detected in immune cells		Not detected		Group enriched	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
92	AKT1S1	Proline-rich AKT1 substrate 1	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
93	AKT2	RAC-beta serine/threonine-protein kinase	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Apoptosis, Carbohydrate metabolism, Glucose metabolism, Glycogen biosynthesis, Glycogen metabolism, Sugar transport, Translation regulation, Transport	Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase	Cancer-related genes, Diabetes mellitus, Disease variant, Proto-oncogene	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
94	AKT3	RAC-gamma serine/threonine-protein kinase	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins		Kinase, Serine/threonine-protein kinase, Transferase	Cancer-related genes, Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
95	ALCAM	CD166 antigen	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Adaptive immunity, Cell adhesion, Immunity		Cancer-related genes	Immune cell enhanced	myeloid DC: 29.6	Lineage enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	1	3	1	Immune-cell-enriched
96	ALDH1A1	Retinal dehydrogenase 1	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase		Immune cell enriched	classical monocyte: 87.5	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
97	ALDH2	Aldehyde dehydrogenase, mitochondrial	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins		Oxidoreductase	Disease variant, Dwarfism, FDA approved drug targets, Intellectual disability	Immune cell enhanced	classical monocyte: 212.7;myeloid DC: 213.7	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
98	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
99	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins		Oxidoreductase	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
100	ALMS1	Alstrom syndrome protein 1	Disease related genes, Human disease related genes, Predicted intracellular proteins			Ciliopathy, Cone-rod dystrophy, Deafness, Diabetes mellitus, Obesity	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
101	ALPI	Intestinal-type alkaline phosphatase	Enzymes, Metabolic proteins, Predicted intracellular proteins		Hydrolase		Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
102	ALPP	Alkaline phosphatase, placental type	Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins		Hydrolase	Cancer-related genes	Not detected in immune cells		Not detected	Intracellular and membrane	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
103	AMBN	Ameloblastin	Disease related genes, Human disease related genes, Predicted secreted proteins	Biomineralization		Amelogenesis imperfecta	Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
104	AMBP	Protein AMBP	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Host-virus interaction	Oxidoreductase, Protease inhibitor, Serine protease inhibitor		Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
105	AMDHD2	N-acetylglucosamine-6-phosphate deacetylase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Carbohydrate metabolism	Hydrolase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
106	AMFR	E3 ubiquitin-protein ligase AMFR	Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Ubl conjugation pathway, Wnt signaling pathway	Receptor, Transferase	Disease variant, Hereditary spastic paraplegia, Neurodegeneration	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
107	AMIGO1	Amphoterin-induced protein 1	Predicted membrane proteins, Transporters	Cell adhesion, Differentiation, Neurogenesis	Developmental protein		Immune cell enhanced	naive CD4 T-cell: 2.3	Lineage enhanced		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
108	AMIGO2	Amphoterin-induced protein 2	Predicted membrane proteins	Cell adhesion			Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
109	AMN	Protein amnionless	Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Protein transport, Transport	Developmental protein	Disease variant	Not detected in immune cells		Not detected	Secreted in other tissues	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
110	AMOT	Angiomotin	Predicted intracellular proteins				Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
111	AMOTL2	Angiomotin-like protein 2	Predicted intracellular proteins	Wnt signaling pathway			Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
112	AMPD3	AMP deaminase 3	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Nucleotide metabolism	Hydrolase	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
113	AMY1A_AMY1B_AMY1C	Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
114	AMY2A	Pancreatic alpha-amylase	Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins	Carbohydrate metabolism	Glycosidase, Hydrolase	FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
115	AMY2B	Alpha-amylase 2B	Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Carbohydrate metabolism	Glycosidase, Hydrolase		Immune cell enhanced	classical monocyte: 5.3	Low lineage specificity	Secreted to digestive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
116	ANG	Angiogenin	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis, Differentiation, Stress response	Developmental protein, DNA-binding, Endonuclease, Hydrolase, Nuclease, Protein synthesis inhibitor	Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration	Immune cell enhanced	classical monocyte: 24.6;myeloid DC: 14.6	Low lineage specificity	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
117	ANGPT1	Angiopoietin-1	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	Angiogenesis, Differentiation	Developmental protein	Cancer-related genes, Disease variant	Immune cell enriched	neutrophil: 5.8	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
118	ANGPT2	Angiopoietin-2	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Angiogenesis, Differentiation	Developmental protein	Cancer-related genes, Disease variant, FDA approved drug targets	Immune cell enhanced	basophil: 1.6	Low lineage specificity	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
119	ANGPTL1	Angiopoietin-related protein 1	Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
120	ANGPTL2	Angiopoietin-related protein 2	Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
121	ANGPTL3	Angiopoietin-related protein 3	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis, Cell adhesion, Lipid metabolism	Heparin-binding	FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
122	ANGPTL4	Angiopoietin-related protein 4	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Angiogenesis, Lipid metabolism			Immune cell enhanced	basophil: 3.3	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
123	ANGPTL7	Angiopoietin-related protein 7	Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
124	ANK2	Ankyrin-2	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Endocytosis, Protein transport, Transport		Disease variant, Long QT syndrome	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
125	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
126	ANKRA2	Ankyrin repeat family A protein 2	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
127	ANKRD54	Ankyrin repeat domain-containing protein 54	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
128	ANP32C	Acidic leucine-rich nuclear phosphoprotein 32 family member C										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
129	ANPEP	Aminopeptidase N	CD markers, Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins	Angiogenesis, Differentiation, Host-virus interaction	Aminopeptidase, Developmental protein, Host cell receptor for virus entry, Hydrolase, Metalloprotease, Protease, Receptor		Immune cell enriched	neutrophil: 227.8	Lineage enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
130	ANXA1	Annexin A1	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Adaptive immunity, Immunity, Inflammatory response, Innate immunity	Phospholipase A2 inhibitor	Cancer-related genes, FDA approved drug targets	Immune cell enhanced	basophil: 2824.3	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	3	1	Immune-cell-enriched
131	ANXA10	Annexin A10	Predicted intracellular proteins				Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
132	ANXA11	Annexin A11	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Cell cycle, Cell division		Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration	Immune cell enhanced	eosinophil: 445.0	Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
