olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1756	MRI1	Methylthioribose-1-phosphate isomerase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Amino-acid biosynthesis, Methionine biosynthesis	Isomerase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1757	MRPL24	39S ribosomal protein L24, mitochondrial	Essential proteins, Predicted intracellular proteins, Ribosomal proteins		Ribonucleoprotein, Ribosomal protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1758	MRPL28	39S ribosomal protein L28, mitochondrial	Predicted intracellular proteins, Ribosomal proteins		Ribonucleoprotein, Ribosomal protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1759	MRPL46	39S ribosomal protein L46, mitochondrial	Predicted intracellular proteins, Ribosomal proteins		Ribonucleoprotein, Ribosomal protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1760	MRPL52	39S ribosomal protein L52, mitochondrial	Predicted intracellular proteins, Ribosomal proteins		Ribonucleoprotein, Ribosomal protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1761	MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial	Enzymes, Essential proteins, Metabolic proteins, Predicted intracellular proteins, Ribosomal proteins	Protein biosynthesis	Hydrolase, Ribonucleoprotein, Ribosomal protein		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1762	MRPS16	28S ribosomal protein S16, mitochondrial	Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Ribosomal proteins		Ribonucleoprotein, Ribosomal protein	Primary mitochondrial disease	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1763	MSLN	Mesothelin	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion		Cancer-related genes	Immune cell enhanced	myeloid DC: 5.9	Group enriched	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
1764	MSLNL	Mesothelin-like protein	Predicted membrane proteins	Cell adhesion			Not detected in immune cells		Not detected		Not detected	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1765	MSMB	Beta-microseminoprotein	Cancer-related genes, Disease related genes, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins			Cancer-related genes	Not detected in immune cells		Not detected	Secreted in male reproductive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1766	MSR1	Macrophage scavenger receptor types I and II	Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Endocytosis	Receptor	Cancer-related genes	Immune cell enhanced	intermediate monocyte: 16.8	Lineage enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
1767	MSRA	Mitochondrial peptide methionine sulfoxide reductase	Enzymes, Metabolic proteins, Predicted intracellular proteins		Oxidoreductase		Immune cell enhanced	eosinophil: 5.7	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1768	MST1	Hepatocyte growth factor-like protein	Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins			Cancer-related genes	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1769	MSTN	Growth/differentiation factor 8	Disease related genes, Human disease related genes, Predicted secreted proteins		Cytokine, Growth factor, Heparin-binding		Not detected in immune cells		Not detected	Secreted in other tissues	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1770	MTDH	Protein LYRIC	Predicted intracellular proteins, Predicted membrane proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1771	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	Enzymes, Metabolic proteins, Predicted intracellular proteins	One-carbon metabolism	Hydrolase, Multifunctional enzyme, Oxidoreductase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1772	MTHFSD	Methenyltetrahydrofolate synthase domain-containing protein	Predicted intracellular proteins		RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1773	MTIF3	Translation initiation factor IF-3, mitochondrial	Predicted intracellular proteins	Protein biosynthesis	Initiation factor		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1774	MTPN	Myotrophin	Plasma proteins, Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
